,date,rcp_scenario,temp
4402,2042-11-23,rcp45,15.787278629845208
4403,2042-11-24,rcp45,15.852115367810518
4404,2042-11-25,rcp45,15.878411581183574
4405,2042-11-26,rcp45,15.927515974114858
4406,2042-11-27,rcp45,15.993392574616117
4407,2042-11-28,rcp45,16.032772321222517
4408,2042-11-29,rcp45,16.077974192603794
4409,2042-11-30,rcp45,16.13941257494985
4410,2047-11-1,rcp45,21.058644120107946
4411,2047-11-2,rcp45,20.64026430448603
4412,2047-11-3,rcp45,19.53889767573448
4413,2047-11-4,rcp45,19.429512546578323
4414,2047-11-5,rcp45,19.748576637597093
4415,2047-11-6,rcp45,20.0424077431875
4416,2047-11-7,rcp45,20.1858595193628
4417,2047-11-8,rcp45,20.25511157571114
4418,2047-11-9,rcp45,20.25614113847529
4419,2047-11-10,rcp45,18.821698776984185
4420,2047-11-11,rcp45,18.39768100783332
4421,2047-11-12,rcp45,18.8665106332189
4422,2047-11-13,rcp45,19.19924804031147
4423,2047-11-14,rcp45,18.731724767140395
4424,2047-11-15,rcp45,17.73326146543522
4425,2047-11-16,rcp45,17.72023171634226
4426,2047-11-17,rcp45,17.94771812048721
4427,2047-11-18,rcp45,18.128845440195867
4428,2047-11-19,rcp45,18.352714823305778
4429,2047-11-20,rcp45,18.508817253087813
4430,2047-11-21,rcp45,18.256715584962972
4431,2047-11-22,rcp45,17.717842885882185
4432,2047-11-23,rcp45,18.20164903916817
4433,2047-11-24,rcp45,18.509600852717885
4434,2047-11-25,rcp45,17.890558020851948
4435,2047-11-26,rcp45,17.49703238188205
4436,2047-11-27,rcp45,17.320133469310065
4437,2047-11-28,rcp45,17.5629554510796
4438,2047-11-29,rcp45,17.792583176602687
4439,2047-11-30,rcp45,17.83626821959016
4440,2052-11-1,rcp45,17.457945304582548
4441,2052-11-2,rcp45,17.18097994255331
4442,2052-11-3,rcp45,17.28199139408549
4443,2052-11-4,rcp45,17.50541512498359
4444,2052-11-5,rcp45,17.73825495516191
4445,2052-11-6,rcp45,17.871106056329783
4446,2052-11-7,rcp45,17.948791489549482
4447,2052-11-8,rcp45,18.104316829243977
4448,2052-11-9,rcp45,18.23668148427974
4449,2052-11-10,rcp45,18.372663870474447
4450,2052-11-11,rcp45,18.475307512228234
4451,2052-11-12,rcp45,18.542574171339677
4452,2052-11-13,rcp45,18.59323617628997
4453,2052-11-14,rcp45,18.5402333357456
4454,2052-11-15,rcp45,18.334842475479682
4455,2052-11-16,rcp45,18.08531772905966
4456,2052-11-17,rcp45,17.790658287389103
4457,2052-11-18,rcp45,17.52933452572868
4458,2052-11-19,rcp45,17.355830250945626
4459,2052-11-20,rcp45,17.26271719890773
4460,2052-11-21,rcp45,17.2896551007169
4461,2052-11-22,rcp45,17.377237389278115
4462,2052-11-23,rcp45,17.41603578372833
4463,2052-11-24,rcp45,17.448265440312177
4464,2052-11-25,rcp45,16.0237120593442
4465,2052-11-26,rcp45,15.234263564921573
